filename,length,entropy,mean,variance,min,max,marker
s0001.hex,4143,7.95438342977968,127.71904417089065,5414.9019955141,0,255,|ARCH:arm|
s0002.hex,291,7.173685426965531,125.7766323024055,5619.836704809815,0,255,|ARCH:arm|
s0003.hex,324,7.23780648629096,116.4104938271605,4656.550630620332,2,252,|ARCH:mips|
s0004.hex,2100,7.904671840625574,123.69904761904762,5441.443713378684,0,255,|ARCH:x86|
s0005.hex,326,7.216862922773409,118.1717791411043,4747.995031803982,0,254,|ARCH:mips|
s0006.hex,2118,7.8969501844866254,123.51888574126535,5161.130663158805,0,255,|ARCH:arm64|
s0007.hex,575,7.599768707447902,123.55478260869565,4968.68178147448,1,255,|ARCH:x86_64|
s0008.hex,324,7.22197551531342,121.33024691358025,4761.640936976071,0,255,|ARCH:powerpc|
s0009.hex,311,7.255168731846881,121.94533762057878,4846.984150287942,0,255,|ARCH:arm|
s0010.hex,331,7.222278061293721,118.84592145015105,4654.976259800476,0,254,|ARCH:arm|
s0011.hex,313,7.230538796011561,120.36102236421725,5201.284998315793,0,255,|ARCH:x86_64|
s0012.hex,4164,7.9548834593556075,127.1743515850144,5500.4158070963695,0,255,|ARCH:x86_64|
s0013.hex,2117,7.906824375627878,127.69343410486537,5458.615039553169,0,255,|ARCH:powerpc|
s0014.hex,303,7.206100788908474,122.50825082508251,4920.824189349628,1,255,|ARCH:powerpc|
s0015.hex,549,7.601152227619334,123.3351548269581,5436.995139365828,0,255,|ARCH:arm|
s0016.hex,2083,7.911928649886328,126.05472875660105,5358.327297610057,0,255,|ARCH:x86|
s0017.hex,4156,7.9530134428437345,125.86573628488932,5368.690827922755,0,255,|ARCH:x86|
s0018.hex,317,7.143827615221673,127.05993690851734,5437.551612614317,0,255,|ARCH:x86_64|
s0019.hex,323,7.264799102534461,116.05572755417957,5018.182652953637,2,254,|ARCH:arm|
s0020.hex,2098,7.9102555520385875,126.09485224022879,5314.932375788462,0,255,|ARCH:arm|
s0021.hex,565,7.576724349789564,119.12389380530973,5222.412968909077,0,254,|ARCH:x86|
s0022.hex,4154,7.9508985835281205,127.3389504092441,5401.889445792918,0,255,|ARCH:x86_64|
s0023.hex,551,7.553490033582273,121.45009074410163,5430.432627033508,0,255,|ARCH:x86|
s0024.hex,4154,7.9571723299157755,126.71882522869524,5290.581990338737,0,255,|ARCH:powerpc|
s0025.hex,301,7.221388583840289,119.87707641196013,5425.144358230042,0,255,|ARCH:powerpc|
s0026.hex,4169,7.955606345708484,127.70472535380188,5461.216962559494,0,255,|ARCH:powerpc|
s0027.hex,557,7.65036547208147,121.1472172351885,5121.515131394461,0,255,|ARCH:mips|
s0028.hex,562,7.630410514705263,126.33629893238434,5133.184056052988,0,255,|ARCH:x86_64|
s0029.hex,4140,7.953145126384664,125.84130434782608,5527.478438878387,0,255,|ARCH:mips|
s0030.hex,4144,7.95154893454713,127.00651544401545,5478.945662182194,0,255,|ARCH:powerpc|
s0031.hex,2090,7.905455333724033,124.05741626794259,5434.634980884137,0,255,|ARCH:mips|
s0032.hex,332,7.144127872624312,109.81626506024097,4472.288530628539,0,255,|ARCH:powerpc|
s0033.hex,4148,7.953108186201296,126.7791706846673,5420.263191983403,0,255,|ARCH:arm|
s0034.hex,4133,7.960439516040504,128.54246310186306,5406.287393594392,0,255,|ARCH:x86|
s0035.hex,557,7.62814222588963,123.6427289048474,5435.719754132971,0,255,|ARCH:x86|
s0036.hex,4167,7.956692140041258,128.67506599472043,5409.373179591276,0,255,|ARCH:arm64|
s0037.hex,317,7.2381916625347165,117.03154574132492,4841.5952193772455,2,255,|ARCH:x86_64|
